model_name,test_subject,accuracy
TCFormer,1,0.6875
TCFormer,2,0.4444
TCFormer,3,0.8368
TCFormer,4,0.5313
TCFormer,5,0.6319
TCFormer,6,0.3924
TCFormer,7,0.7222
TCFormer,8,0.7222
TCFormer,9,0.6354
ATCNet,1,0.7188
ATCNet,2,0.4444
ATCNet,3,0.7743
ATCNet,4,0.5799
ATCNet,5,0.5174
ATCNet,6,0.3715
ATCNet,7,0.6806
ATCNet,8,0.7431
ATCNet,9,0.6354
EEGTCNet,1,0.4653
EEGTCNet,2,0.3889
EEGTCNet,3,0.7604
EEGTCNet,4,0.4965
EEGTCNet,5,0.6285
EEGTCNet,6,0.4444
EEGTCNet,7,0.6979
EEGTCNet,8,0.5729
EEGTCNet,9,0.4826
EEGConformer,1,0.6424
EEGConformer,2,0.2986
EEGConformer,3,0.7465
EEGConformer,4,0.3229
EEGConformer,5,0.2604
EEGConformer,6,0.2708
EEGConformer,7,0.3507
EEGConformer,8,0.6875
EEGConformer,9,0.5764
