model,dataset,loso,ea,interaug,seed,subject,accuracy
TCFormer,bcic2a,True,False,False,0,1,0.65625
TCFormer,bcic2a,True,True,False,0,1,0.74306
TCFormer,bcic2a,True,False,False,0,2,0.44444
TCFormer,bcic2a,True,True,False,0,2,0.44097
TCFormer,bcic2a,True,False,False,0,3,0.80208
TCFormer,bcic2a,True,True,False,0,3,0.81944
TCFormer,bcic2a,True,False,False,0,4,0.49653
TCFormer,bcic2a,True,True,False,0,4,0.68403
TCFormer,bcic2a,True,False,False,0,5,0.45833
TCFormer,bcic2a,True,True,False,0,5,0.69444
TCFormer,bcic2a,True,False,False,0,6,0.42708
TCFormer,bcic2a,True,True,False,0,6,0.60764
TCFormer,bcic2a,True,False,False,0,7,0.76042
TCFormer,bcic2a,True,True,False,0,7,0.66319
TCFormer,bcic2a,True,False,False,0,8,0.72917
TCFormer,bcic2a,True,True,False,0,8,0.71528
TCFormer,bcic2a,True,False,False,0,9,0.55208
TCFormer,bcic2a,True,True,False,0,9,0.72569
